iter	Passed	Remaining
673	3442	1664
674	3450	1661
675	3455	1656
676	3458	1650
677	3462	1644
678	3465	1638
679	3472	1634
680	3475	1628
681	3481	1623
682	3484	1617
683	3487	1611
684	3490	1605
685	3499	1601
686	3503	1596
687	3510	1592
688	3513	1586
689	3520	1581
690	3524	1575
691	3527	1569
692	3529	1563
693	3533	1558
694	3541	1554
695	3545	1548
696	3549	1543
697	3553	1537
698	3555	1531
699	3558	1525
700	3566	1521
701	3570	1515
702	3576	1510
703	3579	1505
704	3583	1499
705	3586	1493
706	3590	1488
707	3593	1482
708	3596	1476
709	3605	1472
710	3608	1466
711	3612	1461
712	3616	1455
713	3619	1449
714	3623	1444
715	3631	1440
716	3634	1434
717	3638	1429
718	3645	1424
719	3650	1419
720	3654	1414
721	3657	1408
722	3660	1402
723	3668	1398
724	3671	1392
725	3676	1387
726	3679	1381
727	3682	1375
728	3685	1369
729	3690	1365
730	3698	1360
731	3701	1355
732	3705	1349
733	3713	1345
734	3718	1340
735	3721	1334
736	3724	1328
737	3729	1323
738	3736	1319
739	3740	1314
740	3744	1308
741	3747	1303
742	3750	1297
743	3754	1291
744	3762	1287
745	3777	1286
746	3782	1281
747	3810	1283
748	3812	1277
749	3815	1271
750	3818	1266
751	3822	1260
752	3825	1254
753	3832	1250
754	3835	1244
755	3853	1243
756	3858	1238
757	3864	1233
758	3875	1230
759	3879	1224
760	3885	1220
761	3898	1217
762	3902	1212
763	3908	1207
764	3913	1202
765	3917	1196
766	3921	1191
767	3925	1185
768	3929	1180
769	3932	1174
770	3938	1169
771	3940	1163
772	3944	1158
773	3952	1154
774	3955	1148
775	3959	1142
776	3965	1137
777	3967	1132
778	3972	1126
779	3975	1121
780	3979	1115
781	3984	1110
782	3988	1105
783	3991	1099
784	3994	1093
785	4002	1089
786	4007	1084
787	4012	1079
788	4021	1075
789	4026	1070
790	4029	1064
791	4032	1059
792	4035	1053
793	4043	1049
794	4047	1043
795	4051	1038
796	4054	1032
797	4058	1027
798	4061	1021
799	4066	1016
800	4070	1011
801	4073	1005
802	4083	1001
803	4086	996
804	4089	990
805	4097	986
806	4101	980
807	4106	975
808	4109	970
809	4114	965
810	4117	959
811	4120	954
812	4123	948
813	4127	943
814	4134	938
815	4140	933
816	4144	928
817	4148	923
818	4151	917
819	4153	911
820	4161	907
821	4165	902
822	4169	896
823	4172	891
824	4175	885
825	4180	880
826	4185	875
827	4187	869
828	4191	864
829	4198	859
830	4202	854
831	4206	849
832	4208	843
833	4213	838
834	4215	833
835	4219	827
836	4227	823
837	4231	818
838	4236	812
839	4244	808
840	4247	803
841	4251	797
842	4256	792
843	4259	787
844	4263	782
845	4269	777
846	4274	772
847	4278	766
848	4283	761
849	4286	756
850	4289	751
851	4297	746
852	4301	741
853	4306	736
854	4315	731
855	4319	726
856	4322	721
857	4326	716
858	4329	710
859	4332	705
860	4340	700
861	4344	695
862	4348	690
863	4351	685
864	4355	679
865	4357	674
866	4366	669
867	4369	664
868	4373	659
869	4378	654
870	4386	649
871	4392	644
872	4395	639
873	4398	634
874	4401	628
875	4409	624
876	4412	618
877	4416	613
878	4419	608
879	4424	603
880	4427	597
881	4431	592
882	4438	588
883	4444	583
884	4448	578
885	4456	573
886	4460	568
887	4463	562
888	4467	557
889	4470	552
890	4474	547
891	4481	542
892	4486	537
893	4490	532
894	4494	527
895	4497	522
896	4500	516
897	4508	512
898	4513	507
899	4517	501
900	4520	496
901	4523	491
902	4527	486
903	4530	481
904	4533	475
905	4536	470
906	4544	466
907	4551	461
908	4555	456
909	4559	450
910	4561	445
911	4564	440
912	4568	435
913	4572	430
914	4575	425
915	4579	419
916	4582	414
917	4585	409
918	4594	404
919	4597	399
920	4603	394
921	4606	389
922	4609	384
923	4613	379
924	4616	374
925	4619	369
926	4623	364
927	4631	359
928	4636	354
929	4640	349
930	4643	344
931	4645	338
932	4650	333
933	4653	328
934	4658	323
935	4662	318
936	4669	313
937	4672	308
938	4676	303
939	4681	298
940	4684	293
941	4688	288
942	4695	283
943	4700	278
944	4705	273
945	4709	268
946	4712	263
947	4722	259
948	4726	253
949	4730	248
950	4733	243
951	4738	238
952	4740	233
953	4745	228
954	4748	223
955	4753	218
956	4757	213
957	4766	208
